Date,Open,High,Low,Close,Adj Close,Volume
2018-01-31,8.950000,8.950000,8.950000,8.950000,8.950000,100
2018-02-01,8.990000,8.990000,8.990000,8.990000,8.990000,100
2018-02-02,8.990000,8.990000,8.990000,8.990000,8.990000,0
2018-02-05,7.770000,7.770000,7.500000,7.500000,7.500000,1700
2018-02-06,7.120000,7.900000,7.120000,7.900000,7.900000,1200
2018-02-07,7.900000,7.900000,7.900000,7.900000,7.900000,0
2018-02-08,7.900000,7.900000,7.900000,7.900000,7.900000,0
2018-02-09,7.900000,7.900000,7.900000,7.900000,7.900000,0
2018-02-12,7.900000,7.900000,7.900000,7.900000,7.900000,0
2018-02-13,7.340000,7.340000,7.340000,7.340000,7.340000,200
2018-02-14,6.610000,6.800000,6.610000,6.800000,6.800000,200
2018-02-15,6.800000,6.800000,6.800000,6.800000,6.800000,0
2018-02-16,6.800000,6.800000,6.800000,6.800000,6.800000,0
2018-02-20,6.800000,6.800000,6.800000,6.800000,6.800000,0
2018-02-21,6.700000,6.700000,6.700000,6.700000,6.700000,600
2018-02-22,6.700000,6.700000,6.700000,6.700000,6.700000,0
2018-02-23,7.000000,7.000000,7.000000,7.000000,7.000000,100
2018-02-26,7.000000,7.000000,7.000000,7.000000,7.000000,0
2018-02-27,7.000000,7.000000,7.000000,7.000000,7.000000,0
2018-02-28,7.000000,7.000000,7.000000,7.000000,7.000000,0
2018-03-01,7.000000,7.000000,7.000000,7.000000,7.000000,0
2018-03-02,7.000000,7.000000,7.000000,7.000000,7.000000,0
2018-03-05,7.000000,7.000000,7.000000,7.000000,7.000000,0
2018-03-06,7.000000,7.000000,7.000000,7.000000,7.000000,0
2018-03-07,7.000000,7.000000,7.000000,7.000000,7.000000,0
2018-03-08,7.000000,7.000000,7.000000,7.000000,7.000000,0
2018-03-09,7.000000,7.000000,7.000000,7.000000,7.000000,0
2018-03-12,7.000000,7.000000,7.000000,7.000000,7.000000,0
2018-03-13,7.000000,7.000000,7.000000,7.000000,7.000000,0
2018-03-14,7.000000,7.000000,7.000000,7.000000,7.000000,0
2018-03-15,7.000000,7.000000,7.000000,7.000000,7.000000,0
2018-03-16,7.000000,7.000000,7.000000,7.000000,7.000000,0
2018-03-19,6.900000,6.900000,6.900000,6.900000,6.900000,200
2018-03-20,6.900000,6.900000,6.900000,6.900000,6.900000,0
2018-03-21,6.900000,6.900000,6.900000,6.900000,6.900000,0
2018-03-22,7.500000,7.500000,7.500000,7.500000,7.500000,100
2018-03-23,7.500000,7.500000,7.500000,7.500000,7.500000,0
2018-03-26,7.500000,7.500000,7.500000,7.500000,7.500000,0
2018-03-27,7.500000,7.500000,7.500000,7.500000,7.500000,0
2018-03-28,7.500000,7.500000,7.500000,7.500000,7.500000,0
2018-03-29,7.500000,7.500000,7.500000,7.500000,7.500000,0
2018-04-02,7.500000,7.500000,7.500000,7.500000,7.500000,0
2018-04-03,7.500000,7.500000,7.500000,7.500000,7.500000,0
2018-04-04,7.500000,7.500000,6.700000,6.700000,6.700000,1300
2018-04-05,6.500000,6.500000,6.500000,6.500000,6.500000,1000
2018-04-06,5.220000,5.220000,5.220000,5.220000,5.220000,100
2018-04-09,6.260000,6.278000,6.150000,6.150000,6.150000,1300
2018-04-10,6.000000,6.000000,5.400000,5.400000,5.400000,2200
2018-04-11,5.400000,5.400000,5.400000,5.400000,5.400000,0
2018-04-12,5.400000,5.400000,5.400000,5.400000,5.400000,0
2018-04-13,5.750000,6.000000,5.750000,6.000000,6.000000,300
2018-04-16,6.000000,6.000000,6.000000,6.000000,6.000000,0
2018-04-17,6.000000,6.000000,6.000000,6.000000,6.000000,0
2018-04-18,6.000000,6.000000,6.000000,6.000000,6.000000,0
2018-04-19,6.000000,6.000000,6.000000,6.000000,6.000000,0
2018-04-20,6.000000,6.000000,6.000000,6.000000,6.000000,0
2018-04-23,5.580000,5.580000,5.580000,5.580000,5.580000,400
2018-04-24,5.580000,5.580000,5.580000,5.580000,5.580000,0
2018-04-25,5.540000,5.540000,5.540000,5.540000,5.540000,1000
2018-04-26,5.540000,5.540000,5.540000,5.540000,5.540000,0
2018-04-27,5.540000,5.540000,5.540000,5.540000,5.540000,0
2018-04-30,5.540000,5.540000,5.540000,5.540000,5.540000,0
2018-05-01,5.540000,5.540000,5.540000,5.540000,5.540000,0
2018-05-02,5.540000,5.540000,5.540000,5.540000,5.540000,0
2018-05-03,5.540000,5.540000,5.540000,5.540000,5.540000,0
2018-05-04,5.700000,5.700000,5.700000,5.700000,5.700000,1000
2018-05-07,5.700000,5.720000,5.300000,5.674000,5.674000,2500
2018-05-08,5.674000,5.674000,5.674000,5.674000,5.674000,0
2018-05-09,5.674000,5.674000,5.674000,5.674000,5.674000,0
2018-05-10,5.600000,5.600000,5.600000,5.600000,5.600000,2000
2018-05-11,4.700000,5.600000,4.700000,5.600000,5.600000,2300
2018-05-14,5.600000,5.600000,5.600000,5.600000,5.600000,0
2018-05-15,5.700000,5.700000,5.700000,5.700000,5.700000,600
2018-05-16,5.700000,5.700000,5.700000,5.700000,5.700000,0
2018-05-17,5.700000,5.700000,5.700000,5.700000,5.700000,0
2018-05-18,5.700000,5.700000,5.700000,5.700000,5.700000,0
2018-05-21,5.700000,5.700000,5.700000,5.700000,5.700000,0
2018-05-22,5.800000,5.800000,5.800000,5.800000,5.800000,500
2018-05-23,5.800000,5.800000,5.800000,5.800000,5.800000,0
2018-05-24,5.650000,5.690000,5.400000,5.690000,5.690000,400
2018-05-25,5.800000,5.800000,5.500000,5.500000,5.500000,2900
2018-05-29,5.800000,5.800000,5.310000,5.475000,5.475000,800
2018-05-30,5.475000,5.475000,5.475000,5.475000,5.475000,0
2018-05-31,6.000000,6.290000,6.000000,6.087000,6.087000,1500
2018-06-01,6.264000,6.279000,6.264000,6.279000,6.279000,400
2018-06-04,6.510000,7.400000,6.010000,6.500000,6.500000,16900
2018-06-05,6.250000,6.725000,6.250000,6.400000,6.400000,6700
2018-06-06,6.300000,6.350000,6.038000,6.060000,6.060000,9100
2018-06-07,6.380000,6.480000,6.010000,6.480000,6.480000,8200
2018-06-08,6.480000,6.480000,6.480000,6.480000,6.480000,0
2018-06-11,6.100000,6.100000,5.505000,5.700000,5.700000,8300
2018-06-12,6.000000,6.090000,6.000000,6.090000,6.090000,8700
2018-06-13,6.050000,6.050000,5.910000,5.910000,5.910000,6600
2018-06-14,6.030000,6.030000,5.810000,5.810000,5.810000,5000
2018-06-15,5.750000,5.750000,5.650000,5.650000,5.650000,4000
2018-06-18,5.360000,5.600000,5.360000,5.600000,5.600000,4000
2018-06-19,5.500000,5.500000,5.500000,5.500000,5.500000,1100
2018-06-20,5.570000,5.570000,5.570000,5.570000,5.570000,500
2018-06-21,5.640000,5.700000,5.640000,5.700000,5.700000,1500
2018-06-22,5.700000,5.700000,5.700000,5.700000,5.700000,300
2018-06-25,5.700000,5.890000,5.700000,5.800000,5.800000,14400
2018-06-26,5.800000,5.800000,5.800000,5.800000,5.800000,1300
2018-06-27,5.800000,5.800000,5.800000,5.800000,5.800000,0
2018-06-28,5.980000,6.020000,5.980000,6.020000,6.020000,700
2018-06-29,5.950000,6.000000,5.950000,5.970000,5.970000,500
2018-07-02,5.970000,5.970000,5.970000,5.970000,5.970000,0
2018-07-03,5.970000,5.970000,5.970000,5.970000,5.970000,0
2018-07-05,5.970000,5.970000,5.970000,5.970000,5.970000,0
2018-07-06,5.400000,5.880000,5.275000,5.700000,5.700000,5500
2018-07-09,5.500000,5.500000,5.500000,5.500000,5.500000,300
2018-07-10,5.500000,5.500000,5.500000,5.500000,5.500000,300
2018-07-11,5.400000,5.850000,5.400000,5.400000,5.400000,800
2018-07-12,5.672000,5.780000,5.350000,5.350000,5.350000,5700
2018-07-13,5.750000,5.970000,5.000000,5.030000,5.030000,21000
2018-07-16,5.080000,5.650000,5.080000,5.590000,5.590000,8600
2018-07-17,5.200000,5.800000,5.100000,5.800000,5.800000,16500
2018-07-18,5.800000,5.800000,5.320000,5.540000,5.540000,7400
2018-07-19,5.760000,6.040000,5.400000,6.010000,6.010000,12300
2018-07-20,5.900000,5.900000,5.400000,5.400000,5.400000,2100
2018-07-23,5.500000,6.030000,5.220000,5.760000,5.760000,27700
2018-07-24,5.350000,5.940000,5.320000,5.500000,5.500000,10900
2018-07-25,5.700000,6.370000,5.630000,6.340000,6.340000,7700
2018-07-26,5.700000,5.930000,5.465000,5.500000,5.500000,5600
2018-07-27,5.550000,6.330000,5.550000,6.330000,6.330000,17300
2018-07-30,6.650000,6.770000,6.000000,6.210000,6.210000,16200
2018-07-31,6.060000,6.470000,5.751000,6.200000,6.200000,8600
2018-08-01,5.900000,6.590000,5.550000,6.290000,6.290000,5400
2018-08-02,5.610000,6.150000,5.260000,5.400000,5.400000,11400
2018-08-03,5.500000,5.990000,5.230000,5.990000,5.990000,3600
2018-08-06,5.470000,5.970000,5.450000,5.840000,5.840000,55600
2018-08-07,5.800000,6.000000,5.800000,6.000000,6.000000,300
2018-08-08,5.750000,5.750000,5.504000,5.560000,5.560000,3100
2018-08-09,5.450000,5.890000,5.350000,5.350000,5.350000,3900
2018-08-10,5.500000,5.780000,5.500000,5.500000,5.500000,600
2018-08-13,5.460000,5.560000,5.300000,5.560000,5.560000,3600
2018-08-14,5.300000,5.530000,5.300000,5.350000,5.350000,13200
2018-08-15,5.310000,5.490000,5.300000,5.350000,5.350000,17200
2018-08-16,5.330000,5.940000,5.320000,5.400000,5.400000,4700
2018-08-17,5.650000,5.670000,5.413000,5.670000,5.670000,8400
2018-08-20,5.650000,5.790000,5.450000,5.500000,5.500000,7700
2018-08-21,5.450000,5.800000,5.350000,5.400000,5.400000,5000
2018-08-22,5.500000,5.630000,5.500000,5.500000,5.500000,900
2018-08-23,5.330000,5.720000,5.300000,5.320000,5.320000,7000
2018-08-24,5.490000,5.920000,5.240000,5.850000,5.850000,13500
2018-08-27,5.441000,5.520000,5.230000,5.481000,5.481000,5000
2018-08-28,5.481000,5.481000,5.481000,5.481000,5.481000,0
2018-08-29,5.530000,5.590000,5.530000,5.590000,5.590000,700
2018-08-30,5.500000,5.500000,5.500000,5.500000,5.500000,1000
2018-08-31,5.540000,5.590000,5.422000,5.422000,5.422000,1200
2018-09-04,5.400000,5.440000,5.180000,5.180000,5.180000,3400
2018-09-05,4.855000,5.250000,4.855000,5.250000,5.250000,2200
2018-09-06,5.176000,5.390000,5.176000,5.210000,5.210000,1400
2018-09-07,4.927000,5.180000,4.861000,5.180000,5.180000,2200
